experiment,group,n_features,mean_rank_ic,top_k_excess,top_minus_bottom,hit_rate,worst_window,valid_dates,top_k_improvement_vs_baseline,top_k_improvement_vs_all
baseline_plus_short_returns,short_returns,45,-7.957414427171387e-05,0.0036393081848889977,0.003910473290871923,0.5333333333333333,-0.036303553777679555,120,0.0008875035737735707,0.003061046135519197
baseline_plus_bollinger,bollinger,37,-0.005411917760726787,0.003356854775925749,0.0034087565251375716,0.5416666666666666,-0.03616123985907557,120,0.0006050501648103218,0.002778592726555948
baseline_plus_industry_relative,industry_relative,44,-0.00979129684602813,0.0030351548340608416,0.0029341178803080434,0.5416666666666666,-0.038139765158551615,120,0.00028335022294541466,0.002456892784691041
baseline,baseline,34,-0.008743274375586469,0.002751804611115427,0.0026708264878785317,0.5333333333333333,-0.03736784445135765,120,0.0,0.0021735425617456262
baseline_plus_cross_sectional,cross_sectional,34,-0.008743274375586469,0.002751804611115427,0.0026708264878785317,0.5333333333333333,-0.03736784445135765,120,0.0,0.0021735425617456262
baseline_plus_csi500_relative,csi500_relative,34,-0.008743274375586469,0.002751804611115427,0.0026708264878785317,0.5333333333333333,-0.03736784445135765,120,0.0,0.0021735425617456262
baseline_plus_liquidity_risk,liquidity_risk,34,-0.008743274375586469,0.002751804611115427,0.0026708264878785317,0.5333333333333333,-0.03736784445135765,120,0.0,0.0021735425617456262
baseline_plus_baseline_technical,baseline_technical,34,-0.008743274375586469,0.002751804611115427,0.0026708264878785317,0.5333333333333333,-0.03736784445135765,120,0.0,0.0021735425617456262
baseline_plus_short_bollinger,short_bollinger,41,-0.005218145345990795,0.002389288078053295,0.0021227567844199747,0.5083333333333333,-0.03882984410494612,120,-0.000362516533062132,0.0018110260286834943
baseline_plus_short_volume_price,short_volume_price,39,-0.00868568612414742,0.002196832565097299,0.002336821129485857,0.5166666666666667,-0.03934570335191649,120,-0.000554972046018128,0.0016185705157274982
all_minus_valuation,valuation,119,0.0016160040890807331,0.0018919366083154435,0.00268624666223489,0.5166666666666666,-0.04209174496403436,120,-0.0008598680027999835,0.0013136745589456427
all_minus_quality,quality,91,-0.017075177764922983,0.0013733299247639045,0.000459000774323397,0.5333333333333333,-0.04471434711027714,120,-0.0013784746863515225,0.0007950678753941038
baseline_plus_quality,quality,83,-0.007724241154551957,0.0012973796607194264,0.0003620578134533106,0.5083333333333334,-0.035778414039093244,120,-0.0014544249503960006,0.0007191176113496257
all_minus_liquidity_risk,liquidity_risk,134,-0.013871942068734424,0.0012695869335650803,0.00041593339594606934,0.5,-0.05451992659862977,120,-0.0014822176775503466,0.0006913248841952796
all_minus_baseline_technical,baseline_technical,130,-0.014184582470728365,0.0012634741733181874,0.0002449171196118455,0.4833333333333334,-0.04472296136423537,120,-0.0014883304377972396,0.0006852121239483866
all_minus_cross_sectional,cross_sectional,136,-0.007779010229316115,0.0011487735106560943,0.00030058898615302536,0.4916666666666667,-0.04014164030257065,120,-0.0016030311004593327,0.0005705114612862936
all_minus_short_bollinger,short_bollinger,133,-0.007477144153273376,0.0010094910870272408,0.00022287782052735563,0.5083333333333333,-0.040581411479661406,120,-0.0017423135240881862,0.0004312290376574401
all_minus_industry_relative,industry_relative,130,-0.009891202251663437,0.0009682361770214938,0.00014355983719727475,0.525,-0.045534399824404666,120,-0.0017835684340939332,0.0003899741276516931
all_minus_bollinger,bollinger,137,-0.008975024673816293,0.0008781194487744954,-0.0009000129742916425,0.5000000000000001,-0.045246566758545916,120,-0.0018736851623409314,0.0002998573994046947
all_minus_short_returns,short_returns,129,-0.009974422111979056,0.0007976717746605852,-0.0006922951722740331,0.5166666666666667,-0.04014925537910537,120,-0.001954132836454842,0.0002194097252907844
all_features,all_features,140,-0.007704046634752317,0.0005782620493698007,-0.0003105407545534071,0.5,-0.04537094460422881,120,-0.0021735425617456262,0.0
all_minus_short_volume_price,short_volume_price,135,-0.008026513846081343,0.0005072868644732,-0.0007390524363812522,0.4833333333333334,-0.04595194142681655,120,-0.002244517746642227,-7.097518489660077e-05
baseline_plus_valuation,valuation,55,-0.027109341150951732,3.451729841172513e-05,-0.0010612215510736244,0.4916666666666667,-0.044700499764252354,120,-0.002717287312703702,-0.0005437447509580756
all_minus_csi500_relative,csi500_relative,126,-0.010705685233548567,-0.0002909477831092757,-0.002869107193778553,0.4749999999999999,-0.0244833500222667,120,-0.0030427523942247025,-0.0008692098324790765
