feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile,group,is_candidate,group_score,combined_score
ret_5d_rank,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general,short_returns,True,1.0,0.6580115037767843
ret_5d,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general,short_returns,True,1.0,0.6580115037767843
ret_5d_zscore,-0.02859000623170871,0.02859000623170871,0.5333333333333333,0.0005691619482902893,0.0009724639499867697,0.48333333333333334,-0.041008351606675694,0.002154308617234469,-1,120,0.015248003323577978,0.015248003323577978,0.0005691619482902893,0.5440153383690457,general,short_returns,True,1.0,0.6580115037767843
ret_3d_zscore,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general,short_returns,True,1.0,0.651586731154617
ret_3d,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general,short_returns,True,1.0,0.651586731154617
ret_3d_rank,-0.022026107239400176,0.022026107239400176,0.525,0.0004385365067704691,0.0007596868758932596,0.5,-0.03750609597631512,0.001920507682030728,-1,120,0.011563706300685093,0.011563706300685093,0.0004385365067704691,0.5354489748728226,general,short_returns,True,1.0,0.651586731154617
ret_1d,-0.013990850874528948,0.013990850874528948,0.49166666666666664,0.0011989930799862242,0.001484588221346544,0.525,-0.03885600408760024,0.0016199064796259186,-1,120,0.0068788350133100655,0.0068788350133100655,0.0011989930799862242,0.5223380093520374,general,short_returns,True,1.0,0.6417535070140281
industry_ret_60d,-0.055068882092200996,0.055068882092200996,0.55,0.0007576642677104273,0.0034766754248888986,0.45,-0.05364405045050386,0.0001503006012024048,-1,120,0.030287885150710552,0.030287885150710552,0.0007576642677104273,0.5743439442988542,general,industry_relative,True,0.8181818181818182,0.6353034127695952
vol_10d,-0.03843615928937439,0.03843615928937439,0.5666666666666667,-0.0025111964954839684,-0.0017496300331915362,0.44166666666666665,-0.05568852219252403,0.0031062124248496994,-1,120,0.02178049026397882,0.02178049026397882,-0.0025111964954839684,0.5127663018344382,general,short_returns,True,1.0,0.6345747263758286
vol_5d,-0.037606526893223455,0.037606526893223455,0.5666666666666667,-0.0026283617277849036,-0.0036130320913804665,0.475,-0.056627879885232935,0.0022879091516366063,-1,120,0.02131036523949329,0.02131036523949329,-0.0026283617277849036,0.5111814654950926,general,short_returns,True,1.0,0.6333860991213194
