feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile
ret_10d,-0.05074267072975761,0.05074267072975761,0.625,0.0017660663198575052,0.0024011381796747206,0.575,-0.03690897110670027,0.0026720106880427524,-1,120,0.03171416920609851,0.03171416920609851,0.0017660663198575052,0.6147327989311957,general
excess_ret_60d,-0.06093252458094224,0.06093252458094224,0.575,0.0019304073567226062,0.002702150854320405,0.5416666666666666,-0.044176091700906764,0.002588510354041416,-1,120,0.03503620163404179,0.03503620163404179,0.0019304073567226062,0.6012155079389548,general
ret_60d,-0.06093252458094224,0.06093252458094224,0.575,0.0019304073567226062,0.002702150854320405,0.5416666666666666,-0.044176091700906764,0.002588510354041416,-1,120,0.03503620163404179,0.03503620163404179,0.0019304073567226062,0.6012155079389548,general
close_over_ma20,-0.04950951647611386,0.04950951647611386,0.6166666666666667,0.0021213205552133665,0.002881826399269844,0.575,-0.043528003238837994,0.004241816967267869,-1,120,0.03053086849360355,0.03053086849360355,0.0021213205552133665,0.6002168439442989,general
close_over_ma60,-0.0610384254786517,0.0610384254786517,0.6,0.0011051760628736302,0.0021375231668783762,0.48333333333333334,-0.04062696709676945,0.008700734802939212,-1,120,0.03662305528719102,0.03662305528719102,0.0011051760628736302,0.5974632598530395,general
pe_ttm,-0.038797095358851834,0.038797095358851834,0.625,0.00141102512658674,0.0011225999827484544,0.5,-0.03848079223776425,0.0,-1,120,0.024248184599282397,0.024248184599282397,0.00141102512658674,0.5917948717948718,general
pe_ttm_rank,-0.038797095358851834,0.038797095358851834,0.625,0.00141102512658674,0.0011225999827484544,0.5,-0.03848079223776425,0.0,-1,120,0.024248184599282397,0.024248184599282397,0.00141102512658674,0.5917948717948718,general
pe_ttm_zscore,-0.038797095358851834,0.038797095358851834,0.625,0.00141102512658674,0.0011225999827484544,0.5,-0.03848079223776425,0.0,-1,120,0.024248184599282397,0.024248184599282397,0.00141102512658674,0.5917948717948718,general
turnover_ma_20d,-0.045759629416616016,0.045759629416616016,0.6333333333333333,0.0023276070795400085,-0.001393920389186268,0.575,-0.05367930479708104,0.004241816967267869,-1,120,0.028981098630523474,0.028981098630523474,0.0023276070795400085,0.5914988952263501,general
pe_static,-0.037152891722194686,0.037152891722194686,0.625,0.00014460055263759857,0.00041466987443027927,0.5083333333333333,-0.02629723638320704,0.0,-1,120,0.02322055732637168,0.02322055732637168,0.00014460055263759857,0.5851282051282052,general
residual_ret_20d,-0.03601239438424552,0.03601239438424552,0.6083333333333333,0.002722716150827947,0.0025017701592784385,0.625,-0.04499146398020329,0.010521042084168337,-1,120,0.02190753991708269,0.02190753991708269,0.002722716150827947,0.5848453316890191,general
ret_20d_zscore,-0.04394854771222345,0.04394854771222345,0.5416666666666666,0.002242408110635327,0.0021836212876706275,0.575,-0.04846135630735692,0.0026720106880427524,-1,120,0.023805463344121036,0.023805463344121036,0.002242408110635327,0.5824251066235034,general
