experiment,group,n_features,mean_rank_ic,top_k_excess,top_minus_bottom,hit_rate,worst_window,valid_dates,top_k_improvement_vs_baseline,top_k_improvement_vs_all
all_minus_market_regime,market_regime,62,-0.009749316292002552,0.003917132333479626,0.0035620167283986993,0.5875,-0.03655431065681207,80,0.0018825830466391727,0.0024777131157732372
all_minus_csi500_relative,csi500_relative,96,-0.022916438612591745,0.0030296346529309517,0.0035051700946446165,0.475,-0.02731439930200973,80,0.0009950853660904983,0.0015902154352245628
baseline_plus_market_regime,market_regime,64,-0.041345579125266485,0.0029982178897740267,-5.108331415710219e-05,0.5625,-0.04353645262785891,80,0.0009636686029335733,0.0015587986720676378
baseline_plus_short_bollinger,short_bollinger,24,-0.03668205824804212,0.002923825590152431,0.0010760683821523917,0.5375,-0.03686195723902057,80,0.0008892763033119776,0.001484406372446042
baseline_plus_csi500_relative,csi500_relative,30,-0.009165349262029016,0.0027509174291494892,0.003376474374298781,0.5875,-0.03121820029440287,80,0.0007163681423090359,0.0013114982114431004
all_minus_industry_relative,industry_relative,100,-0.021280308609568574,0.0027447052864100936,0.0011354246151619877,0.625,-0.034888659113254915,80,0.0007101559995696402,0.0013052860687037047
all_minus_cross_sectional,cross_sectional,106,-0.021214640180761704,0.0025529723069007805,0.0008629077715562345,0.575,-0.026710628169680346,80,0.0005184230200603272,0.0011135530891943917
baseline_plus_cross_sectional,cross_sectional,20,-0.021669239890944506,0.002542263138834525,0.003670219654538957,0.5875,-0.053293317895096705,80,0.0005077138519940716,0.001102843921128136
all_minus_short_returns,short_returns,99,-0.019672784006326657,0.002326706281393175,4.725728215893531e-06,0.5375000000000001,-0.03846571718914431,80,0.00029215699455272144,0.0008872870636867859
baseline,baseline,16,-0.04094501956036399,0.0020345492868404534,-0.0006088958832714407,0.525,-0.05050691982956608,80,0.0,0.0005951300691340645
baseline_plus_short_returns,short_returns,16,-0.04094501956036399,0.0020345492868404534,-0.0006088958832714407,0.525,-0.05050691982956608,80,0.0,0.0005951300691340645
baseline_plus_short_volume_price,short_volume_price,16,-0.04094501956036399,0.0020345492868404534,-0.0006088958832714407,0.525,-0.05050691982956608,80,0.0,0.0005951300691340645
all_minus_short_bollinger,short_bollinger,102,-0.02153755991436307,0.0015969269632042339,0.0010293788225019297,0.5625,-0.034536725438139876,80,-0.00043762232363621953,0.00015750774549784497
baseline_plus_liquidity_risk,liquidity_risk,26,-0.03450790189030193,0.001474969223632136,0.0008269372733928275,0.55,-0.04236856746614127,80,-0.0005595800632083173,3.555000592574717e-05
all_features,all_features,110,-0.02244204506744306,0.0014394192177063889,-0.0003760214205124231,0.5125,-0.0387957962315966,80,-0.0005951300691340645,0.0
all_minus_short_volume_price,short_volume_price,105,-0.02338146257393281,0.00123389414433889,-0.0011559165924161442,0.5625,-0.03428603667151989,80,-0.0008006551425015634,-0.00020552507336749895
all_minus_liquidity_risk,liquidity_risk,100,-0.015018841508643577,0.0008002551004199442,0.0001968374216349141,0.5125,-0.03736473257435516,80,-0.0012342941864205092,-0.0006391641172864447
baseline_plus_industry_relative,industry_relative,26,-0.03650019092465136,-0.00029354237634120694,-0.002325363249921582,0.4625,-0.049016079246138815,80,-0.00232809166318166,-0.0017329615940475957
