strategy,mean_score_3713,std_score_3713,worst_score_3713,robust_score,legacy_mean_score_3713,legacy_std_score_3713,legacy_worst_score_3713,legacy_robust_score,avg_legacy_raw_score_3713,avg_mean_13w,worst_13w,avg_hit_13w,avg_mean_7w,worst_7w,avg_hit_7w,avg_mean_3w,worst_3w,avg_hit_3w,avg_holdings,min_holdings,max_holdings,alpha,requested_top_k,blend_source,is_grid,overall_rank,legacy_overall_rank
final_portfolio_a0.45_k44,0.6429318181818181,0.0496165004702713,0.5815454545454545,0.5583303954075183,0.6698916666666667,0.0519379133582421,0.6106075757575757,0.5828876859369031,0.0109928515868248,0.009080877655599,-0.029257840610569,0.5384615384615385,0.0157712333682844,-0.0269142930609824,0.6785714285714285,0.0321795650553995,0.0153832642828824,1.0,43.21153846153846,38,44,0.45,44,final_portfolio,True,1,1
final_portfolio_a0.40_k35,0.6315492424242424,0.1057315058467776,0.4964242424242424,0.5240399175971404,0.7006689393939393,0.1065941378411938,0.5439484848484848,0.5807625180340623,0.0115325332974216,0.008647592384442,-0.0295113812897533,0.576923076923077,0.0161183085063866,-0.0295113812897533,0.6785714285714285,0.0341025564184058,0.0182936236279806,1.0,35.0,35,35,0.4,35,final_portfolio,True,4,2
final_portfolio_a0.45_k35,0.6154545454545455,0.0965540030503681,0.4826060606060606,0.5110415693919329,0.6940348484848485,0.095426984874032,0.5547393939393941,0.5802648015125969,0.0111272506884054,0.008800385659227,-0.030745662186417,0.5384615384615385,0.0162493773489037,-0.030745662186417,0.6428571428571428,0.0343733816395032,0.0182121993952508,1.0,35.0,35,35,0.45,35,final_portfolio,True,8,3
final_portfolio_a0.40_k44,0.6379886363636363,0.0607129524931557,0.5649393939393939,0.5498561668718964,0.6678609848484849,0.0635783145445067,0.5856803030303032,0.5741718844546403,0.0110516404521819,0.0089165350332605,-0.0285233404561434,0.5384615384615385,0.0157189835710111,-0.02638444789539,0.6785714285714285,0.0321987891602461,0.0152755360845506,1.0,43.21153846153846,38,44,0.4,44,final_portfolio,True,2,4
final_portfolio_a0.35_k35,0.6326174242424243,0.1088123892869181,0.4893939393939394,0.5226685716773688,0.6977189393939394,0.114744703036785,0.5230303030303031,0.5728004160599578,0.0115409453770244,0.0085030817620943,-0.0283024098362235,0.576923076923077,0.0159953058908178,-0.0283024098362235,0.6785714285714285,0.033844573414678,0.0177545617354256,1.0,35.0,35,35,0.35,35,final_portfolio,True,6,5
final_portfolio_a0.35_k44,0.6300113636363636,0.0796712593733345,0.5435151515151515,0.5374190483050907,0.6625564393939394,0.0844100262085916,0.5593712121212121,0.5620634860155045,0.0111099297800249,0.0087543672649008,-0.0277888403017178,0.5384615384615385,0.0156668740055965,-0.0261587166833922,0.6785714285714285,0.032217097748084,0.0151678078862187,1.0,43.21153846153846,38,44,0.35,44,final_portfolio,True,3,6
final_portfolio_a0.30_k35,0.6258522727272727,0.115313674883461,0.4762424242424242,0.5143332158449871,0.6868234848484849,0.1252503769108991,0.4970848484848485,0.5581814395816374,0.0115359062814774,0.0083662018674133,-0.0271179772552756,0.576923076923077,0.0158796348010133,-0.0271179772552756,0.6785714285714285,0.0335984798765875,0.0172324024738934,1.0,35.0,35,35,0.3,35,final_portfolio,True,7,7
final_portfolio_a0.30_k44,0.6182386363636363,0.0944627833822911,0.5245454545454544,0.5235451989344981,0.6516723484848486,0.1017945467380719,0.5348984848484848,0.5471321930534656,0.0111591806429141,0.0085943305919605,-0.0270543401472922,0.5384615384615385,0.0156149426406718,-0.0259329854713944,0.6785714285714285,0.0322346180498854,0.0150600796878869,1.0,43.21153846153846,38,44,0.3,44,final_portfolio,True,5,8
final_portfolio_a0.35_k38,0.593935606060606,0.1253683037706707,0.4661969696969697,0.4900705559865692,0.6361166666666667,0.1220581768381694,0.5525848484848483,0.5394162277707285,0.0111383912860104,0.0085996202282444,-0.0278112903922781,0.5576923076923077,0.0155234839806332,-0.0263213497819989,0.6785714285714285,0.0331816609333047,0.0144477283475069,1.0,38.0,38,38,0.35,38,final_portfolio,True,14,9
final_portfolio_a0.40_k38,0.5984734848484848,0.1203042030966229,0.4480757575757575,0.4889962842357922,0.6424507575757575,0.1128238498274014,0.528030303030303,0.538318183199078,0.0110563332503474,0.0087517513606057,-0.0285990318915669,0.5576923076923077,0.0155601615353098,-0.0271878114992949,0.6785714285714285,0.0333156141580796,0.0144529890032832,1.0,38.0,38,38,0.4,38,final_portfolio,True,15,10
