candidate,ranking_family,feature_count_pair,model_preset,general_top_n,short_top_n
short_aggressive_compact_capacity,short_aggressive,compact,capacity,60,30
stable_compact_capacity,stable,compact,capacity,60,30
recent_compact_capacity,recent,compact,capacity,60,30
stable_medium_capacity,stable,medium,capacity,90,60
short_aggressive_medium_capacity,short_aggressive,medium,capacity,90,60
stable_compact_current,stable,compact,current,60,30
recent_compact_current,recent,compact,current,60,30
balanced_extra_wide_capacity,balanced,extra_wide,capacity,150,120
short_aggressive_wide_capacity,short_aggressive,wide,capacity,120,90
economic_medium_capacity,economic,medium,capacity,90,60
balanced_medium_current,balanced,medium,current,90,60
stable_extra_wide_capacity,stable,extra_wide,capacity,150,120
short_aggressive_extra_wide_capacity,short_aggressive,extra_wide,capacity,150,120
economic_wide_current,economic,wide,current,120,90
recent_extra_wide_capacity,recent,extra_wide,capacity,150,120
short_aggressive_compact_current,short_aggressive,compact,current,60,30
recent_medium_capacity,recent,medium,capacity,90,60
short_aggressive_medium_current,short_aggressive,medium,current,90,60
economic_wide_capacity,economic,wide,capacity,120,90
economic_medium_current,economic,medium,current,90,60
stable_medium_conservative,stable,medium,conservative,90,60
economic_compact_conservative,economic,compact,conservative,60,30
economic_medium_conservative,economic,medium,conservative,90,60
economic_extra_wide_conservative,economic,extra_wide,conservative,150,120
recent_medium_conservative,recent,medium,conservative,90,60
balanced_compact_current,balanced,compact,current,60,30
balanced_wide_conservative,balanced,wide,conservative,120,90
stable_wide_conservative,stable,wide,conservative,120,90
economic_extra_wide_capacity,economic,extra_wide,capacity,150,120
recent_wide_current,recent,wide,current,120,90
short_aggressive_extra_wide_current,short_aggressive,extra_wide,current,150,120
short_aggressive_compact_conservative,short_aggressive,compact,conservative,60,30
balanced_compact_conservative,balanced,compact,conservative,60,30
