candidate,windows,mean_excess,sum_excess,compounded_portfolio_return,compounded_benchmark_return,compounded_excess,hit_rate,worst_window,best_window,std_excess,avg_window_rank,best_window_rank,worst_window_rank,avg_holdings,max_weight,top_k,model0_weight,model1_weight,weighting,risk_filter_enabled,live_score,stability_score
short_aggressive_wide_capacity,13,0.0038511568171122664,0.050065038622459465,0.060061079875460166,0.012330917134922181,0.047730162740537985,0.5384615384615384,-0.018254527474963263,0.036941824041334594,0.015355155717653805,5.6923076923076925,1,12,30.0,0.055,30,0.225,0.775,rank,True,0.9191666666666667,0.8999999999999999
stable_compact_current,13,0.006692729878609158,0.08700548842191906,0.09848621980449423,0.012330917134922181,0.08615530266957205,0.5384615384615384,-0.0249923657383131,0.029732677747914847,0.017971046940776943,5.0,1,10,35.0,0.02857142857142857,35,0.55,0.44999999999999996,equal,False,0.8841666666666665,0.875
balanced_medium_current,13,0.002688004628031658,0.03494406016441155,0.044315174892509246,0.012330917134922181,0.031984257757587065,0.5384615384615384,-0.019982210712697224,0.031736271788443175,0.013834213920297999,5.6923076923076925,1,10,60.0,0.016666666666666666,60,0.35,0.65,equal,False,0.8441666666666666,0.8374999999999999
economic_medium_capacity,13,0.0008680689726710499,0.011284896644723649,0.014423679799506983,0.012330917134922181,0.002092762664584802,0.38461538461538464,-0.020962319020043786,0.0727315162746821,0.025705956919326305,7.076923076923077,1,12,30.0,0.05000000000000002,30,0.575,0.42500000000000004,rank,False,0.6325000000000001,0.575
balanced_extra_wide_capacity,13,0.0018982090758340557,0.024676717985842724,0.033389959901465094,0.012330917134922181,0.021059042766542913,0.5384615384615384,-0.03087209822682597,0.03019587477966125,0.019236437500516974,6.538461538461538,2,12,30.0,0.06451612903225806,30,0.725,0.275,rank,False,0.6316666666666666,0.6166666666666667
stable_extra_wide_capacity,13,0.0014927592682116536,0.019405870486751495,0.029846571986342996,0.012330917134922181,0.017515654851420814,0.5384615384615384,-0.02835835749046644,0.024822376846579338,0.017456646093025503,6.538461538461538,2,12,30.0,0.06451612903225806,30,0.525,0.475,rank,True,0.6116666666666666,0.6041666666666666
recent_compact_capacity,13,0.0007035760201769763,0.009146488262300693,0.020368905453661323,0.012330917134922181,0.008037988318739142,0.6923076923076923,-0.05368277531005679,0.036333686285763535,0.023174187805462265,5.769230769230769,1,12,30.0,0.045,30,0.025,0.975,rank,False,0.43999999999999995,0.4958333333333334
recent_compact_current,13,0.0004195878117722705,0.005454641553039517,0.01600693571654488,0.012330917134922181,0.0036760185816226976,0.6153846153846154,-0.06181446141883247,0.03467634456841014,0.021820421900036614,5.769230769230769,1,12,30.0,0.06451612903225806,30,0.475,0.525,rank,False,0.3566666666666667,0.42083333333333334
stable_medium_capacity,13,-0.004033571172880647,-0.05243642524744841,-0.0461790219835293,0.012330917134922181,-0.05850993911845148,0.3076923076923077,-0.025803056968511255,0.043958924869924546,0.019606613365449253,7.461538461538462,3,12,30.0,0.039999999999999994,30,0.175,0.825,rank,False,0.3275,0.3104166666666666
short_aggressive_compact_capacity,13,2.1902781192065823e-05,0.0002847361554968557,0.003832443759044901,0.012330917134922181,-0.00849847337587728,0.46153846153846156,-0.032837252768878,0.08869045155888494,0.028657715184583894,6.615384615384615,1,11,30.0,0.06451612903225806,30,0.3,0.7,rank,False,0.30000000000000004,0.3125
short_aggressive_medium_capacity,13,2.1902781192065823e-05,0.0002847361554968557,0.003832443759044901,0.012330917134922181,-0.00849847337587728,0.46153846153846156,-0.032837252768878,0.08869045155888494,0.028657715184583894,6.615384615384615,1,11,30.0,0.06451612903225806,30,0.3,0.7,rank,False,0.30000000000000004,0.3125
stable_compact_capacity,13,-0.005529477945680048,-0.07188321329384062,-0.06283079006826287,0.012330917134922181,-0.07516170720318505,0.3076923076923077,-0.028129657620004037,0.021341232378747278,0.014012594198358786,8.23076923076923,3,12,30.0,0.05000000000000002,30,0.1,0.9,rank,True,0.2525,0.23958333333333334
