candidate,window_id,entry_date,start_date,end_date,trading_days,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,avg_top5_weight,n_with_notes,model0_weight,model1_weight,top_k,internal_max_weight,weighting,risk_filter_enabled,window_rank
balanced_extra_wide_capacity,w01,2026-01-20,2026-01-21,2026-01-27,5,0.0628371754637436,0.03650995628533904,0.026327219178404554,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,6.0
balanced_medium_current,w01,2026-01-20,2026-01-21,2026-01-27,5,0.04598207299544663,0.03650995628533904,0.009472116710107586,60,0.016666666666666666,0.08333333333333333,0,0.35,0.65,60,0.03,equal,False,10.0
economic_medium_capacity,w01,2026-01-20,2026-01-21,2026-01-27,5,0.10924147256002115,0.03650995628533904,0.0727315162746821,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,3.0
recent_compact_capacity,w01,2026-01-20,2026-01-21,2026-01-27,5,0.04894457242725377,0.03650995628533904,0.012434616141914732,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,9.0
recent_compact_current,w01,2026-01-20,2026-01-21,2026-01-27,5,0.03770322613126082,0.03650995628533904,0.0011932698459217808,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,11.0
short_aggressive_compact_capacity,w01,2026-01-20,2026-01-21,2026-01-27,5,0.12520040784422398,0.03650995628533904,0.08869045155888494,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,1.0
short_aggressive_medium_capacity,w01,2026-01-20,2026-01-21,2026-01-27,5,0.12520040784422398,0.03650995628533904,0.08869045155888494,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,1.0
short_aggressive_wide_capacity,w01,2026-01-20,2026-01-21,2026-01-27,5,0.0653772301336328,0.03650995628533904,0.028867273848293754,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,5.0
stable_compact_capacity,w01,2026-01-20,2026-01-21,2026-01-27,5,0.05785118866408632,0.03650995628533904,0.021341232378747278,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,7.0
stable_compact_current,w01,2026-01-20,2026-01-21,2026-01-27,5,0.05093675780802254,0.03650995628533904,0.014426801522683497,35,0.02857142857142857,0.14285714285714285,0,0.55,0.44999999999999996,35,0.03,equal,False,8.0
stable_extra_wide_capacity,w01,2026-01-20,2026-01-21,2026-01-27,5,0.026991553295824346,0.03650995628533904,-0.009518402989514695,30,0.06451612903225806,0.3010752688172043,0,0.525,0.475,30,0.065,rank,True,12.0
stable_medium_capacity,w01,2026-01-20,2026-01-21,2026-01-27,5,0.08046888115526359,0.03650995628533904,0.043958924869924546,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,4.0
balanced_extra_wide_capacity,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.0505688235330356,-0.030674123972444955,-0.019894699560590645,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,9.0
balanced_medium_current,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.036774519182250984,-0.030674123972444955,-0.006100395209806028,60,0.016666666666666666,0.08333333333333333,0,0.35,0.65,60,0.03,equal,False,6.0
economic_medium_capacity,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.051404154886755045,-0.030674123972444955,-0.02073003091431009,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,10.0
recent_compact_capacity,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.05898416933449066,-0.030674123972444955,-0.028310045362045705,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,12.0
recent_compact_current,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.03204410257434429,-0.030674123972444955,-0.0013699786018993368,30,0.06451612903225806,0.3010752688172043,0,0.475,0.525,30,0.065,rank,False,4.0
short_aggressive_compact_capacity,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.027596650296194358,-0.030674123972444955,0.003077473676250598,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,1.0
short_aggressive_medium_capacity,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.027596650296194358,-0.030674123972444955,0.003077473676250598,30,0.06451612903225806,0.3010752688172043,0,0.3,0.7,30,0.065,rank,False,1.0
short_aggressive_wide_capacity,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.02813429251780207,-0.030674123972444955,0.002539831454642885,30,0.055,0.275,0,0.225,0.775,30,0.055,rank,True,3.0
stable_compact_capacity,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.0575126535732783,-0.030674123972444955,-0.02683852960083334,30,0.05000000000000002,0.2500000000000001,0,0.1,0.9,30,0.05,rank,True,11.0
stable_compact_current,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.03805851211214585,-0.030674123972444955,-0.007384388139700895,35,0.02857142857142857,0.14285714285714285,0,0.55,0.44999999999999996,35,0.03,equal,False,7.0
stable_extra_wide_capacity,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.03240533919341239,-0.030674123972444955,-0.001731215220967433,30,0.06451612903225806,0.3010752688172043,0,0.525,0.475,30,0.065,rank,True,5.0
stable_medium_capacity,w02,2026-01-27,2026-01-28,2026-02-03,5,-0.04908926765839705,-0.030674123972444955,-0.018415143685952096,30,0.039999999999999994,0.19999999999999996,0,0.175,0.825,30,0.04,rank,False,8.0
balanced_extra_wide_capacity,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.02848948541142455,0.0023826128154014192,-0.03087209822682597,30,0.06451612903225806,0.3010752688172043,0,0.725,0.275,30,0.065,rank,False,12.0
balanced_medium_current,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.017599597897295805,0.0023826128154014192,-0.019982210712697224,60,0.016666666666666666,0.08333333333333333,0,0.35,0.65,60,0.03,equal,False,8.0
economic_medium_capacity,w03,2026-02-03,2026-02-04,2026-02-10,5,-0.018579706204642367,0.0023826128154014192,-0.020962319020043786,30,0.05000000000000002,0.2500000000000001,0,0.575,0.42500000000000004,30,0.05,rank,False,9.0
recent_compact_capacity,w03,2026-02-03,2026-02-04,2026-02-10,5,0.0031979717728467887,0.0023826128154014192,0.0008153589574453695,30,0.045,0.22499999999999998,0,0.025,0.975,30,0.045,rank,False,2.0
