window_id,entry_date,start_date,end_date,trading_days
w01,2026-01-20,2026-01-21,2026-01-27,5
w02,2026-01-27,2026-01-28,2026-02-03,5
w03,2026-02-03,2026-02-04,2026-02-10,5
w04,2026-02-10,2026-02-11,2026-02-25,5
w05,2026-02-25,2026-02-26,2026-03-04,5
w06,2026-03-04,2026-03-05,2026-03-11,5
w07,2026-03-11,2026-03-12,2026-03-18,5
w08,2026-03-18,2026-03-19,2026-03-25,5
w09,2026-03-25,2026-03-26,2026-04-01,5
w10,2026-04-01,2026-04-02,2026-04-09,5
w11,2026-04-09,2026-04-10,2026-04-16,5
w12,2026-04-16,2026-04-17,2026-04-23,5
w13,2026-04-23,2026-04-24,2026-04-30,5
