candidate,windows,mean_excess,sum_excess,compounded_portfolio_return,compounded_benchmark_return,compounded_excess,hit_rate,worst_window,best_window,std_excess,avg_window_rank,best_window_rank,worst_window_rank,avg_holdings,max_weight,top_k,model0_weight,model1_weight,weighting,risk_filter_enabled,live_score,stability_score
stable_compact_current,13,0.012102429784164762,0.15733158719414192,0.1894913498248456,0.02977501623779011,0.1597163335870555,0.6153846153846154,-0.019836888184783224,0.05488989199484674,0.026076481174509666,5.230769230769231,1,10,31.0,0.03253310000000001,31,0.5465,0.4535,rank,True,0.96,0.9479166666666666
economic_medium_capacity,13,0.01054408106757989,0.13707305387853858,0.17157631004825458,0.02977501623779011,0.14180129381046447,0.6153846153846154,-0.020093737355151173,0.05820132004095281,0.023320658896082886,5.0,1,12,30.0,0.036000000004219955,30,0.998,0.0020000000000000018,rank,True,0.885,0.8937499999999999
stable_compact_capacity,13,0.008686320582279104,0.11292216756962836,0.1371252277905961,0.02977501623779011,0.107350211552806,0.46153846153846156,-0.0226333041163046,0.045789311429579566,0.027333655218529516,6.0,1,11,33.0,0.030303030303030304,33,0.978,0.02200000000000002,equal,True,0.6925,0.6458333333333334
stable_medium_capacity,13,0.0026693313687281926,0.0347013077934665,0.059919449189242524,0.02977501623779011,0.030144432951452416,0.46153846153846156,-0.014354959407404111,0.029012542272226605,0.014062193385952092,6.769230769230769,2,10,93.0,0.01075268817204301,93,0.7725,0.22750000000000004,equal,True,0.5925,0.5583333333333333
stable_extra_wide_capacity,13,0.006868714915868338,0.0892932939062884,0.11850557743084611,0.02977501623779011,0.088730561193056,0.6153846153846154,-0.03521072437089071,0.03766398990791503,0.021166863770115212,6.3076923076923075,1,12,46.0,0.02173913043478261,46,0.285,0.7150000000000001,equal,False,0.5425,0.5437500000000001
recent_compact_capacity,13,0.004951019468462299,0.0643632530900099,0.09268429663975386,0.02977501623779011,0.06290928040196375,0.6153846153846154,-0.02873730934522377,0.03590051091854275,0.01980688490618717,5.846153846153846,2,12,31.0,0.032972380952380954,31,0.055,0.945,rank,True,0.51,0.5479166666666666
short_aggressive_compact_capacity,13,0.005392301507791574,0.07009991960129046,0.09763832766633596,0.02977501623779011,0.06786331142854585,0.5384615384615384,-0.030355806591597385,0.051493932242312135,0.024994967206423212,5.769230769230769,1,11,31.0,0.03225806451612904,31,0.9455,0.05449999999999999,equal,True,0.5066666666666666,0.5291666666666667
short_aggressive_medium_capacity,13,0.005392301507791574,0.07009991960129046,0.09763832766633596,0.02977501623779011,0.06786331142854585,0.5384615384615384,-0.030355806591597385,0.051493932242312135,0.024994967206423212,5.769230769230769,1,11,31.0,0.03225806451612904,31,0.9455,0.05449999999999999,equal,True,0.5066666666666666,0.5291666666666667
balanced_extra_wide_capacity,13,0.0024415303478356886,0.03173989452186395,0.05589865241511838,0.02977501623779011,0.02612363617732827,0.5384615384615384,-0.022468913235543814,0.03701205890705053,0.017922058293901057,7.6923076923076925,1,12,64.0,0.015625,64,0.725,0.275,equal,False,0.41666666666666663,0.41041666666666665
balanced_medium_current,13,0.0024667407707667285,0.03206763001996747,0.0565250969373321,0.02977501623779011,0.02675008069954199,0.5384615384615384,-0.02685043002358073,0.04361133902421427,0.019512145229329064,7.153846153846154,1,12,49.0,0.020408163265306124,49,0.0,1.0,equal,True,0.4091666666666667,0.40625
recent_compact_current,13,0.001363009930818897,0.017719129100645662,0.04174284579186294,0.02977501623779011,0.011967829554072829,0.46153846153846156,-0.02098992022687096,0.034022584454981464,0.01828585401668145,6.6923076923076925,2,11,37.0,0.027027027027027035,37,0.825,0.17500000000000004,equal,True,0.3675,0.37916666666666665
short_aggressive_wide_capacity,13,-0.0033826320749972185,-0.04397421697496384,-0.0227648929556874,0.02977501623779011,-0.05253990919347751,0.38461538461538464,-0.031241414648152114,0.03279877798899593,0.022282295958482794,8.76923076923077,5,12,30.0,0.036000000004219955,30,0.5935,0.4065,rank,True,0.11083333333333333,0.10833333333333332
