window_id,entry_date,start_date,end_date,trading_days
w01,2026-01-21,2026-01-22,2026-01-28,5
w02,2026-01-28,2026-01-29,2026-02-04,5
w03,2026-02-04,2026-02-05,2026-02-11,5
w04,2026-02-11,2026-02-12,2026-02-26,5
w05,2026-02-26,2026-02-27,2026-03-05,5
w06,2026-03-05,2026-03-06,2026-03-12,5
w07,2026-03-12,2026-03-13,2026-03-19,5
w08,2026-03-19,2026-03-20,2026-03-26,5
w09,2026-03-26,2026-03-27,2026-04-02,5
w10,2026-04-02,2026-04-03,2026-04-10,5
w11,2026-04-10,2026-04-13,2026-04-17,5
w12,2026-04-17,2026-04-20,2026-04-24,5
w13,2026-04-24,2026-04-27,2026-05-06,5
