candidate,windows,mean_excess,sum_excess,compounded_portfolio_return,compounded_benchmark_return,compounded_excess,hit_rate,worst_window,best_window,std_excess,avg_window_rank,best_window_rank,worst_window_rank,avg_holdings,max_weight,top_k,model0_weight,model1_weight,weighting,risk_filter_enabled,live_score,stability_score
stable_compact_capacity,13,0.008809009440435016,0.11451712272565522,0.12187918649494045,0.01210744937874364,0.10977173711619681,0.7692307692307693,-0.02264733922073852,0.05113968253979646,0.019997079303937043,5.3076923076923075,1,10,33.0,0.030303030303030304,33,0.978,0.02200000000000002,equal,True,0.7949999999999999,0.8166666666666667
short_aggressive_compact_capacity,13,0.006953150988835878,0.0903909628548664,0.10332015533016148,0.01210744937874364,0.09121270595141784,0.6923076923076923,-0.021770212887797645,0.034808107729546234,0.01526435062106352,6.230769230769231,1,10,31.0,0.03225806451612904,31,0.9455,0.05449999999999999,equal,True,0.7716666666666667,0.7625000000000001
short_aggressive_medium_capacity,13,0.006953150988835878,0.0903909628548664,0.10332015533016148,0.01210744937874364,0.09121270595141784,0.6923076923076923,-0.021770212887797645,0.034808107729546234,0.01526435062106352,6.230769230769231,1,10,31.0,0.03225806451612904,31,0.9455,0.05449999999999999,equal,True,0.7716666666666667,0.7625000000000001
recent_compact_current,13,0.010493589734322193,0.1364166665461885,0.14710900807281013,0.01210744937874364,0.1350015586940665,0.6923076923076923,-0.024423264633836442,0.049497657073728746,0.018759621753288158,5.230769230769231,1,11,37.0,0.027027027027027035,37,0.825,0.17500000000000004,equal,True,0.7666666666666666,0.78125
stable_compact_current,13,0.01210615916422981,0.15738006913498753,0.15678944593342958,0.01210744937874364,0.14468199655468594,0.6153846153846154,-0.03733734230925087,0.06702406962906374,0.03311575664919821,5.384615384615385,1,12,31.0,0.03253310000000001,31,0.5465,0.4535,rank,True,0.7108333333333333,0.6958333333333334
stable_medium_capacity,13,0.0062046426359249575,0.08066035426702445,0.08846160252473911,0.01210744937874364,0.07635415314599547,0.6923076923076923,-0.02110714856328213,0.042427010191042724,0.01615956091971619,6.461538461538462,2,9,93.0,0.01075268817204301,93,0.7725,0.22750000000000004,equal,True,0.6466666666666667,0.6520833333333333
recent_compact_capacity,13,0.00633026624737875,0.08229346121592375,0.08862314019681472,0.01210744937874364,0.07651569081807108,0.5384615384615384,-0.02186033198186456,0.0409739983373526,0.020090787503242103,6.461538461538462,1,12,31.0,0.032972380952380954,31,0.055,0.945,rank,True,0.57,0.5520833333333333
balanced_medium_current,13,0.0067819805138896565,0.08816574668056554,0.09327105658192347,0.01210744937874364,0.08116360720317983,0.5384615384615384,-0.03050709382257847,0.05207503368618292,0.02316503640315648,6.153846153846154,1,12,49.0,0.020408163265306124,49,0.0,1.0,equal,True,0.48,0.49374999999999997
short_aggressive_wide_capacity,13,0.003050225344992553,0.03965292948490319,0.038961855785999866,0.01210744937874364,0.026854406407256226,0.3076923076923077,-0.02276743356248604,0.0588102581389037,0.024680729793705027,8.23076923076923,1,12,30.0,0.036000000004219955,30,0.5935,0.4065,rank,True,0.39083333333333337,0.3458333333333334
balanced_extra_wide_capacity,13,0.0027411130927776184,0.03563447020610904,0.04045232255561815,0.01210744937874364,0.028344873176874508,0.5384615384615384,-0.02940349400205436,0.04755563345889467,0.01942636016243397,7.3076923076923075,4,11,64.0,0.015625,64,0.725,0.275,equal,False,0.3175,0.31458333333333327
economic_medium_capacity,13,0.002707906784695856,0.03520278820104613,0.03170459684066462,0.01210744937874364,0.019597147461920983,0.5384615384615384,-0.04934547132848345,0.048801213375101016,0.029764951770592758,6.6923076923076925,2,12,30.0,0.036000000004219955,30,0.998,0.0020000000000000018,rank,True,0.1875,0.21458333333333332
stable_extra_wide_capacity,13,-4.200855131466903e-05,-0.0005461111670906973,0.007543515489325303,0.01210744937874364,-0.004563933889418337,0.46153846153846156,-0.0639832472957226,0.04804662340841795,0.02562335109428608,7.3076923076923075,3,12,46.0,0.02173913043478261,46,0.285,0.7150000000000001,equal,False,0.09166666666666666,0.10833333333333334
