candidate,window_id,entry_date,start_date,end_date,trading_days,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,avg_top5_weight,n_with_notes,model0_weight,model1_weight,top_k,internal_max_weight,weighting,risk_filter_enabled,window_rank
balanced_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.05497296495290663,-0.02556947095085227,-0.02940349400205436,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,9.0
balanced_medium_current,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.05607656477343074,-0.02556947095085227,-0.03050709382257847,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,10.0
economic_medium_capacity,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.07491494227933572,-0.02556947095085227,-0.04934547132848345,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,12.0
recent_compact_capacity,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.036568734707782914,-0.02556947095085227,-0.010999263756930645,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,5.0
recent_compact_current,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.024316889357139885,-0.02556947095085227,0.001252581593712384,37,0.027027027027027035,0.13513513513513517,0,0.825,0.17500000000000004,37,0.03,equal,True,1.0
short_aggressive_compact_capacity,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.02753962710730684,-0.02556947095085227,-0.001970156156454572,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,2.0
short_aggressive_medium_capacity,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.02753962710730684,-0.02556947095085227,-0.001970156156454572,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,2.0
short_aggressive_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.04833690451333831,-0.02556947095085227,-0.02276743356248604,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,8.0
stable_compact_capacity,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.04821681017159079,-0.02556947095085227,-0.02264733922073852,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,7.0
stable_compact_current,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.06290681326010314,-0.02556947095085227,-0.03733734230925087,31,0.03253310000000001,0.16266550000000005,0,0.5465,0.4535,31,0.031758,rank,True,11.0
stable_extra_wide_capacity,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.0291483523851828,-0.02556947095085227,-0.0035788814343305324,46,0.02173913043478261,0.10869565217391305,0,0.285,0.7150000000000001,46,0.03,equal,False,4.0
stable_medium_capacity,w01,2026-01-23,2026-01-26,2026-01-30,5,-0.0466766195141344,-0.02556947095085227,-0.02110714856328213,93,0.01075268817204301,0.05376344086021505,0,0.7725,0.22750000000000004,93,0.03,equal,True,6.0
balanced_extra_wide_capacity,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.027431295329023338,-0.02677336652920015,-0.0006579287998231889,64,0.015625,0.078125,0,0.725,0.275,64,0.03,equal,False,6.0
balanced_medium_current,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.043713230799291736,-0.02677336652920015,-0.016939864270091587,49,0.020408163265306124,0.10204081632653061,0,0.0,1.0,49,0.03,equal,True,12.0
economic_medium_capacity,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.039399049751077185,-0.02677336652920015,-0.012625683221877036,30,0.036000000004219955,0.18000000002109978,0,0.998,0.0020000000000000018,30,0.036,rank,True,11.0
recent_compact_capacity,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.03524144325623577,-0.02677336652920015,-0.008468076727035624,31,0.032972380952380954,0.16486190476190477,0,0.055,0.945,31,0.030758,rank,True,9.0
recent_compact_current,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.022130525053000966,-0.02677336652920015,0.0046428414761991825,37,0.027027027027027035,0.13513513513513517,0,0.825,0.17500000000000004,37,0.03,equal,True,2.0
short_aggressive_compact_capacity,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.02373651441039368,-0.02677336652920015,0.0030368521188064677,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,3.0
short_aggressive_medium_capacity,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.02373651441039368,-0.02677336652920015,0.0030368521188064677,31,0.03225806451612904,0.16129032258064518,0,0.9455,0.05449999999999999,31,0.03225806451612903,equal,True,3.0
short_aggressive_wide_capacity,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.037149041323960914,-0.02677336652920015,-0.010375674794760766,30,0.036000000004219955,0.18000000002109978,0,0.5935,0.4065,30,0.036,rank,True,10.0
stable_compact_capacity,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.021378680833224382,-0.02677336652920015,0.005394685695975766,33,0.030303030303030304,0.15151515151515152,0,0.978,0.02200000000000002,33,0.030303030303030304,equal,True,1.0
stable_compact_current,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.03130768901553445,-0.02677336652920015,-0.0045343224863343,31,0.03253310000000001,0.16266550000000005,0,0.5465,0.4535,31,0.031758,rank,True,8.0
stable_extra_wide_capacity,w02,2026-01-30,2026-02-02,2026-02-06,5,-0.02708603506122911,-0.02677336652920015,-0.00031266853202896114,46,0.02173913043478261,0.10869565217391305,0,0.285,0.7150000000000001,46,0.03,equal,False,5.0
