window_id,entry_date,start_date,end_date,trading_days
w01,2026-01-23,2026-01-26,2026-01-30,5
w02,2026-01-30,2026-02-02,2026-02-06,5
w03,2026-02-06,2026-02-09,2026-02-13,5
w04,2026-02-13,2026-02-24,2026-03-02,5
w05,2026-03-02,2026-03-03,2026-03-09,5
w06,2026-03-09,2026-03-10,2026-03-16,5
w07,2026-03-16,2026-03-17,2026-03-23,5
w08,2026-03-23,2026-03-24,2026-03-30,5
w09,2026-03-30,2026-03-31,2026-04-07,5
w10,2026-04-07,2026-04-08,2026-04-14,5
w11,2026-04-14,2026-04-15,2026-04-21,5
w12,2026-04-21,2026-04-22,2026-04-28,5
w13,2026-04-28,2026-04-29,2026-05-08,5
