feature,model_count,candidate_count,general_count,short_count,avg_rank,min_rank
dist_to_boll_upper_120d,24,12,12,12,11.416666666666666,1
excess_ret_60d,24,12,12,12,11.916666666666666,1
dist_to_boll_upper_20d,24,12,12,12,13.541666666666666,3
dist_to_boll_upper_10d,24,12,12,12,17.458333333333332,1
below_boll_lower_120d,24,12,12,12,18.125,2
dist_to_boll_lower_120d,24,12,12,12,25.541666666666668,7
boll_width_10d,24,12,12,12,27.208333333333332,11
dist_to_boll_lower_20d,23,12,12,11,14.304347826086957,2
boll_position_20d,23,12,12,11,22.043478260869566,5
residual_ret_20d,23,12,12,11,22.130434782608695,4
boll_z_20d,23,12,12,11,22.347826086956523,4
boll_position_120d,23,12,12,11,27.043478260869566,2
boll_z_120d,23,12,12,11,27.26086956521739,3
boll_width_20d,22,12,12,10,18.09090909090909,3
near_boll_lower_120d,22,12,12,10,28.772727272727273,7
idiosyncratic_vol_60d,22,12,12,10,31.636363636363637,10
dist_to_boll_lower_10d,22,12,12,10,31.727272727272727,17
boll_width_120d,21,12,12,9,12.333333333333334,1
relative_vol_20d,21,12,12,9,27.714285714285715,6
turnover_ma_20d,20,12,12,8,20.65,2
amount_ma_20d,19,12,12,7,26.157894736842106,7
vol_20d_rank,19,12,12,7,33.68421052631579,12
vol_20d_zscore,19,12,12,7,33.78947368421053,14
max_drawdown_20d,19,12,12,7,51.94736842105263,13
low_liquidity_flag,18,12,12,6,28.11111111111111,9
high_low_range_20d,18,12,12,6,42.888888888888886,27
atr_14d,17,12,12,5,42.11764705882353,21
industry_ret_60d,15,12,12,3,47.46666666666667,7
excess_ret_20d_industry_rank,15,12,12,3,54.06666666666667,4
ret_20d_industry_rank,15,12,12,3,54.266666666666666,5
ret_60d,12,12,12,0,18.25,6
close_over_ma20,12,12,12,0,29.833333333333332,19
close_over_ma60,12,12,12,0,30.0,20
vol_20d,12,12,12,0,36.333333333333336,11
rsi_14,12,12,12,0,42.083333333333336,29
boll_width_60d,12,12,12,0,47.25,4
dist_to_boll_lower_60d,12,12,12,0,48.666666666666664,10
dist_to_boll_upper_60d,12,12,12,0,54.083333333333336,32
vol_10d,14,11,10,4,30.714285714285715,8
excess_ret_20d,19,10,10,9,27.105263157894736,11
excess_ret_20d_rank,19,10,10,9,27.736842105263158,12
excess_ret_1d,18,10,9,9,39.72222222222222,5
near_boll_lower_20d,18,10,10,8,40.05555555555556,20
beta_to_csi500_60d,17,10,7,10,39.64705882352941,2
ret_20d_zscore,15,10,10,5,33.8,27
ret_20d_rank,15,10,10,5,34.666666666666664,24
intraday_return,14,10,7,7,21.428571428571427,7
ret_1d,13,10,7,6,24.76923076923077,7
volume_z_5d,13,10,7,6,25.46153846153846,13
overnight_gap,13,10,7,6,49.61538461538461,14
industry_ret_20d,13,10,10,3,69.3076923076923,44
ret_10d,10,10,10,0,21.5,13
ret_20d,10,10,10,0,34.6,25
amount_z_20d,10,10,10,0,44.2,31
boll_z_60d,10,10,10,0,60.2,31
boll_position_60d,10,10,10,0,60.6,30
below_boll_lower_60d,10,10,10,0,63.0,31
eps,10,10,10,0,66.5,38
deducted_net_profit,10,10,10,0,72.0,37
amount_z_5d,12,9,7,5,25.583333333333332,12
vol_5d,12,9,7,5,27.666666666666668,9
rsi_6,11,9,7,4,30.90909090909091,11
earnings_yield_ttm,9,9,9,0,61.666666666666664,29
excess_ret_3d_rank,15,8,7,8,35.8,6
excess_ret_3d,15,8,7,8,36.0,7
residual_ret_1d,15,8,7,8,38.06666666666667,3
excess_ret_2d,15,8,7,8,43.2,8
boll_z_10d,14,8,7,7,35.92857142857143,20
excess_ret_5d_rank,14,8,7,7,37.5,9
excess_ret_5d,14,8,7,7,37.785714285714285,10
boll_position_10d,13,8,7,6,37.07692307692308,21
ret_5d,11,8,7,4,22.272727272727273,1
ret_3d_rank,11,8,7,4,23.09090909090909,4
ret_5d_zscore,11,8,7,4,23.363636363636363,2
ret_3d,11,8,7,4,23.545454545454547,4
ret_5d_rank,11,8,7,4,23.636363636363637,3
ret_3d_zscore,11,8,7,4,24.272727272727273,6
ret_2d,11,8,7,4,32.81818181818182,12
close_location_value,11,8,7,4,47.45454545454545,15
stock_ret_minus_industry_ret_60d,10,8,7,3,74.0,57
stock_ret_minus_industry_ret_5d,10,8,7,3,74.7,45
ret_120d,8,8,8,0,69.125,49
near_boll_upper_120d,10,7,6,4,58.6,43
above_boll_upper_120d,10,7,6,4,60.6,47
volume_z_20d,7,7,7,0,58.142857142857146,41
near_boll_upper_20d,11,6,5,6,52.81818181818182,22
near_boll_upper_10d,8,6,4,4,66.125,42
above_boll_upper_20d,8,6,4,4,69.5,50
ret_5d_industry_rank,8,6,5,3,69.625,33
excess_ret_5d_industry_rank,8,6,5,3,69.875,34
above_boll_upper_10d,8,6,4,4,70.125,41
below_boll_lower_20d,8,6,4,4,73.125,58
stock_ret_minus_industry_ret_20d,8,6,5,3,78.0,66
industry_ret_5d,8,6,5,3,91.125,71
net_margin_ttm,6,6,6,0,68.33333333333333,51
net_margin_ttm_rank,6,6,6,0,68.83333333333333,52
net_margin_ttm_zscore,6,6,6,0,68.83333333333333,52
pb_rank,6,6,6,0,69.16666666666667,48
near_boll_lower_10d,6,5,2,4,72.16666666666667,51
below_boll_lower_10d,6,5,2,4,72.33333333333333,56
roe_ttm_zscore,6,5,5,1,84.83333333333333,43
roe_ttm,6,5,5,1,85.66666666666667,44
roe_ttm_rank,6,5,5,1,86.0,45
near_boll_lower_60d,5,5,5,0,53.0,16
pe_static,5,5,5,0,85.4,71
roa_ttm,5,5,4,1,87.4,27
roa_ttm_rank,5,5,4,1,88.0,26
roa_ttm_zscore,5,5,4,1,89.2,28
deducted_net_profit_growth_yoy,5,5,4,1,92.4,34
deducted_net_profit_growth_yoy_rank,5,5,4,1,93.6,36
